Trial no,Scaling_Method,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy,Test_Precision,Test_F1,Test_Recall,Best_Params
400,MaxAbsScaler,0.8423176920069528,0.0039097165850704605,0.8471302804886371,0.8389151451918521,0.8357935844507897,0.8471302804886371,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,StandardScaler,0.8430488785727641,0.0033083497472199733,0.8467208080256603,0.8383987736586208,0.8354569740198354,0.8467208080256603,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,MinMaxScaler,0.8419666565749916,0.002535939498267066,0.846106599331195,0.8377605319319411,0.8344201313352285,0.846106599331195,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,RobustScaler,0.8427856822102848,0.003387411089217386,0.8463795809731796,0.8380458023340605,0.8348703737128365,0.8463795809731796,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,QuantileTransformer (Uniform),0.8422591611469397,0.0028421580704196766,0.8464478263836757,0.8382748962893538,0.8344585580295865,0.8464478263836757,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,QuantileTransformer (Normal),0.8434291708788395,0.003065737888678544,0.8478127345935986,0.8396977670419657,0.8366547067604332,0.8478127345935986,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,No Scaling,0.8427856351528765,0.0033477238068656563,0.8461748447416911,0.8379182578097728,0.8342436349066649,0.8461748447416911,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,MaxAbsScaler,0.8428441531790508,0.0032830382153894526,0.8473350167201256,0.8391171541738969,0.8361803881971688,0.8473350167201256,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,StandardScaler,0.8425516614409414,0.0035340188878006697,0.8465160717941719,0.838182513356089,0.8351208793778215,0.8465160717941719,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,MinMaxScaler,0.8427271641841102,0.003737214675088994,0.8471985258991332,0.839014551362574,0.8358023844412642,0.8471985258991332,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
