Trial no,Scaling_Method,Accuracy,Precision,F1,Recall,Best Params
500,RobustScaler,0.8663754862485498,0.8605875400601587,0.8603819253667843,0.8663754862485498,"{'n_estimators': 250, 'criterion': 'gini', 'max_depth': 31, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,QuantileTransformer (Uniform),0.8620760253872927,0.856102582897958,0.8568206092402912,0.8620760253872927,"{'n_estimators': 200, 'criterion': 'log_loss', 'max_depth': 17, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,QuantileTransformer (Normal),0.8652835596806114,0.860022657068021,0.8610560115321658,0.8652835596806114,"{'n_estimators': 800, 'criterion': 'gini', 'max_depth': 19, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,No Scaling,0.8691053026683956,0.8638403386788192,0.864374489483235,0.8691053026683956,"{'n_estimators': 800, 'criterion': 'gini', 'max_depth': 49, 'min_samples_split': 15, 'min_samples_leaf': 17, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,MaxAbsScaler,0.8608476079983621,0.8545570686562218,0.8549692222106845,0.8608476079983621,"{'n_estimators': 200, 'criterion': 'gini', 'max_depth': 13, 'min_samples_split': 18, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,StandardScaler,0.8679451306899612,0.8624387735555112,0.8627145745098375,0.8679451306899612,"{'n_estimators': 650, 'criterion': 'gini', 'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,MinMaxScaler,0.8620760253872927,0.8559776144671345,0.8564798126356616,0.8620760253872927,"{'n_estimators': 300, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,RobustScaler,0.8663754862485498,0.8606774286062694,0.8609074412847597,0.8663754862485498,"{'n_estimators': 550, 'criterion': 'log_loss', 'max_depth': 39, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,QuantileTransformer (Uniform),0.8602333993038969,0.8538441912660938,0.8542016109347804,0.8602333993038969,"{'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,QuantileTransformer (Normal),0.8644646147546577,0.8589111517743282,0.8597834981071519,0.8644646147546577,"{'n_estimators': 200, 'criterion': 'log_loss', 'max_depth': 46, 'min_samples_split': 11, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
700,No Scaling,0.8726540640141951,0.8675433865766012,0.8671941080446055,0.8726540640141951,"{'n_estimators': 900, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
700,MaxAbsScaler,0.8608476079983621,0.8545241655029222,0.8548521140582885,0.8608476079983621,"{'n_estimators': 400, 'criterion': 'gini', 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
700,StandardScaler,0.8671944311745036,0.8616516513732175,0.8620525048572184,0.8671944311745036,"{'n_estimators': 300, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 13, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
700,MinMaxScaler,0.8609158534088582,0.8546408026826311,0.8550695147917445,0.8609158534088582,"{'n_estimators': 200, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
700,RobustScaler,0.8661025046065652,0.8602672937736245,0.8598861719479214,0.8661025046065652,"{'n_estimators': 400, 'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
700,QuantileTransformer (Uniform),0.8614618166928274,0.8552247416470878,0.8555802887795471,0.8614618166928274,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
700,QuantileTransformer (Normal),0.8643281239336654,0.8586161813294481,0.8593149500800575,0.8643281239336654,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 33, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
