Trial no,Scaling_Method,Accuracy,Precision,F1,Recall,Best Params
100,No Scaling,0.8496553606769944,0.8416527930205144,0.8397576893482516,0.8496553606769944,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 18, 'min_samples_split': 13, 'min_samples_leaf': 15, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,No Scaling,0.851770968402375,0.8440585527479965,0.843576638729821,0.851770968402375,"{'n_estimators': 150, 'criterion': 'log_loss', 'max_depth': 24, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
300,No Scaling,0.8527946495598171,0.8452420067388784,0.8448680287070417,0.8527946495598171,"{'n_estimators': 500, 'criterion': 'gini', 'max_depth': 22, 'min_samples_split': 18, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,No Scaling,0.8520439500443595,0.8443691546847543,0.8438647112183482,0.8520439500443595,"{'n_estimators': 750, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 13, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,No Scaling,0.810141267999727,0.8357577649096419,0.8183262939396247,0.810141267999727,"{'n_estimators': 550, 'criterion': 'log_loss', 'max_depth': 34, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced'}"
600,No Scaling,0.8501330785504675,0.8421919376483804,0.8404233611907848,0.8501330785504675,"{'n_estimators': 450, 'criterion': 'gini', 'max_depth': 34, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
700,No Scaling,0.8523169316863441,0.8446656151826274,0.8439052629240612,0.8523169316863441,"{'n_estimators': 250, 'criterion': 'log_loss', 'max_depth': 22, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
