Trial no,Scaling_Method,Accuracy,Precision,F1,Recall,Best Params
100,QuantileTransformer (Normal),0.8441274824268068,0.8365195742170806,0.8295843566679247,0.8441274824268068,"{'n_estimators': 700, 'criterion': 'gini', 'max_depth': 25, 'min_samples_split': 11, 'min_samples_leaf': 12, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
200,QuantileTransformer (Normal),0.8413976660069611,0.8346685011215238,0.8242442438094549,0.8413976660069611,"{'n_estimators': 700, 'criterion': 'log_loss', 'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 13, 'max_features': 'log2', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
300,QuantileTransformer (Normal),0.8448099365317683,0.836602096996676,0.8318248858041759,0.8448099365317683,"{'n_estimators': 700, 'criterion': 'log_loss', 'max_depth': 27, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
400,QuantileTransformer (Normal),0.8462430901521872,0.8384373749231231,0.8332276204191087,0.8462430901521872,"{'n_estimators': 400, 'criterion': 'gini', 'max_depth': 48, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
500,QuantileTransformer (Normal),0.8469937896676448,0.8393442232076522,0.8340827407893224,0.8469937896676448,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 43, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None}"
600,QuantileTransformer (Normal),0.8423531017539071,0.8350310760237482,0.826448860508255,0.8423531017539071,"{'n_estimators': 400, 'criterion': 'gini', 'max_depth': 33, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None}"
